protein_id,protein_len,pLDDT,pTM
papiinebeta4_RL11P,256,64.9,0.404
macacinebeta3_RL11I,311,64.6,0.408
macacinebeta8_RL11T,373,64.6,0.376
macacinebetajap_RL11T,377,64.4,0.381
cercopithecinebeta5_RL11P,276,64.0,0.412
mandrillinebeta1_RL11H,289,64.0,0.441
macacinebetajap_RL11B,159,63.7,0.607
humanbeta5_UL4,149,63.4,0.596
mandrillinebeta1_RL11T,388,63.2,0.371
cercopithecinebeta5_RL11H,299,62.5,0.425
papiinebeta4_RL11H,296,62.3,0.427
paninebeta2_UL8,168,61.7,0.223
cercopithecinebeta5_RL11T,400,61.5,0.355
elephantidbeta5_EE50,135,61.4,0.599
humanadeno3_CR1beta,179,61.3,0.432
cercopithecinebeta5_RL11I,317,61.2,0.425
macacinebeta8_RL11B,161,60.5,0.573
papiinebeta4_RL11T,405,60.2,0.363
papiinebeta4_RL11C,163,60.1,0.564
macacinebetajap_RL11F,228,59.7,0.412
papiinebeta4_RL11S,483,59.4,0.316
macacinebeta8_RL11S,456,59.0,0.322
macacinebeta3_RL11T,375,58.7,0.335
macacinebeta3_RL11D1,171,58.7,0.559
macacinebetajap_RL11H,393,57.9,0.339
macacinebeta8_RL11H,357,57.6,0.364
macacinebeta3_RL11D2,140,56.9,0.516
macacinebetajap_RL11S,482,56.9,0.315
paninebeta2_RL12,449,56.7,0.325
macacinebeta3_RL11S,461,56.4,0.32
macacinebeta3_RL11H,366,55.4,0.358
humanbeta5_RL12,414,55.2,0.332
cercopithecinebeta5_RL11C2,163,54.6,0.541
macacinebeta3_RL11B,162,51.4,0.504
humanbeta5_UL8,122,49.4,0.202
papiinebeta4_RL11N,120,46.2,0.194
cercopithecinebeta5_RL11N,123,46.1,0.182
mandrillinebeta1_RL11N,126,45.6,0.184
paninebeta2_UL5,151,43.3,0.177
macacinebetajap_RL11N,127,42.6,0.182
macacinebeta8_RL11N,120,40.1,0.175
macacinebeta3_RL11N,129,37.2,0.168
humanbeta5_UL5,166,33.7,0.152
humanbeta5_RL5A,95,29.5,0.164
